# Campos do contrato da NFS-e que NÃO aparecem no INI do PADRÃO NACIONAL, e o
# porquê de cada um. O contrato é único para os dois layouts, então parte destes
# campos existe para o RPS do ABRASF e não tem endereço aqui. Ver o cabeçalho de
# internal/cte/testdata/nao_espelhadas.tsv.
#
# Formato: <caminho no payload>  <TAB>  <motivo>
ambiente	configura a sessão; não é campo da DPS
referencia	correlação do cliente, volta na resposta e não entra no documento
infDPS.prest.CPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.toma.CPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.interm.CPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.ibscbs.dest.CPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.ibscbs.documentos[].fornecCPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.serv.itemListaServico	no Padrão Nacional o código do serviço é o cServ (cTribNac); o item da lista da LC 116 é do layout ABRASF
infDPS.serv.naturezaOperacao	campo do RPS do ABRASF; o Padrão Nacional deriva a natureza dos grupos de tributação
infDPS.serv.responsavelRetencao	campo do RPS do ABRASF; no Padrão Nacional a retenção é o tpRetISSQN de tribMun
infDPS.prest.regTrib.incentivadorCultural	campo do RPS do ABRASF, sem equivalente no Padrão Nacional
infDPS.prest.regTrib.dataOptanteSimplesNacional	campo do RPS do ABRASF, sem equivalente no Padrão Nacional
infDPS.toma.regTrib.*	a biblioteca lê o regime tributário só do prestador: quem emite é quem declara o próprio regime
infDPS.interm.regTrib.*	a biblioteca lê o regime tributário só do prestador: quem emite é quem declara o próprio regime
