# Campos do contrato do MDF-e que NÃO aparecem no INI gerado, e o porquê de
# cada um. Ver o cabeçalho de internal/cte/testdata/nao_espelhadas.tsv.
#
# Formato: <caminho no payload>  <TAB>  <motivo>
ambiente	configura a sessão e deriva o tpAmb do documento; não é campo do MDF-e
referencia	correlação do cliente, volta na resposta e não entra no documento
infMDFe.Id	atributo Id do XML, montado pela biblioteca a partir da chave
infMDFe.ide.cDV	dígito verificador da chave, calculado pela biblioteca
infMDFe.ide.tpAmb	redundante com ambiente: o handler recusa se divergir, e quem manda é o ambiente do pedido
infMDFe.emit.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infMDFe.autXML[].CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infMDFe.seg[].infResp.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infMDFe.infModal.rodo.veicTracao.prop.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infMDFe.infModal.rodo.veicReboque[].prop.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infMDFe.infModal.rodo.infANTT.infCIOT[].CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infMDFe.infModal.rodo.infANTT.infContratante[].CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infMDFe.infModal.rodo.infANTT.infPag[].CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infMDFe.infModal.rodo.infANTT.valePed.disp[].CPFPg	a biblioteca lê um pagador só, em CNPJPg: o CPF entra ali quando é o que veio
infMDFe.infModal.versaoModal	a biblioteca deriva a versão do modal da versão do MDF-e e não lê esta chave do arquivo intermediário
infMDFe.infRespTec.CSRT	só idCSRT e hashCSRT entram no XML, e nem esses a biblioteca lê do arquivo intermediário
infMDFe.infSolicNFF.xSolic	a biblioteca não lê a solicitação de NFF do arquivo intermediário
infMDFeSupl.qrCodMDFe	o QR Code é gerado pela biblioteca na assinatura
