# Campos do contrato do CT-e que NÃO aparecem no INI gerado, e o porquê de cada
# um. O teste de espelho (espelho_test.go) preenche o modelo inteiro e cobra
# cada folha na saída: o que estiver aqui é decisão registrada, o que não
# estiver é o dado morrendo na tradução sem ninguém saber.
#
# Uma linha só se justifica por um destes motivos:
#   - o campo não é do documento (configura a chamada, ou volta na resposta);
#   - a biblioteca fiscal calcula o valor e ignoraria o nosso;
#   - a biblioteca não lê a chave do arquivo intermediário, só de XML;
#   - dois campos alternativos onde só um viaja.
#
# Formato: <caminho no payload>  <TAB>  <motivo>
ambiente	configura a sessão e deriva o tpAmb do documento; não é campo do CT-e
referencia	correlação do cliente, volta na resposta e não entra no documento
infCte.Id	atributo Id do XML, montado pela biblioteca a partir da chave
infCte.ide.cDV	dígito verificador da chave, calculado pela biblioteca
infCte.ide.tpAmb	redundante com ambiente: o handler recusa se divergir, e quem manda é o ambiente do pedido
infCte.emit.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infCte.rem.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infCte.exped.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infCte.receb.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infCte.dest.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infCte.ide.toma4.CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infCte.autXML[].CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infCte.infCTeNorm.docAnt.emiDocAnt[].CPF	um CNPJ ou um CPF viaja em CNPJCPF, nunca os dois
infCte.infRespTec.CSRT	só idCSRT e hashCSRT entram no XML, e nem esses a biblioteca lê do arquivo intermediário
infCte.infSolicNFF.xSolic	a biblioteca não lê a solicitação de NFF do arquivo intermediário
infCTeSupl.qrCodCTe	o QR Code é gerado pela biblioteca na assinatura
